Date,Carbohydrates,Fiber,Protein,Fat
1/2/2023,415.45,20.92,45.78,96.57
1/3/2023,316.25,0.25,2.0,16.0
1/6/2023,587.52,0.0,25.68,16.75
1/8/2023,559.85,0.0,13.33,94.57
1/9/2023,920.66,3.83,80.58,271.11
10/1/2023,1183.45,0.0,0.0,0.0
10/2/2023,615.58,3.02,22.86,17.6
10/3/2023,1096.58,24.92,85.81,30.98
10/5/2023,537.33,0.0,0.0,0.0
10/8/2023,1021.85,0.0,39.82,4.84
11/2/2023,8150.0,0.0,750.0,90.0
11/3/2023,105.0,10.0,128.35,97.75
11/7/2023,760.34,0.0,54.5,25.03
11/8/2023,2315.07,0.0,238.32,1204.08
12/1/2023,44.8,8.5,20.52,6.58
12/3/2023,323.2,0.0,14.4,2.4
12/5/2023,11857.23,0.0,1114.79,3177.1
12/6/2023,381.05,8.78,19.27,1.0
12/7/2023,62.8,0.0,6.4,0.0
12/8/2023,640.05,0.0,19.63,0.27
12/9/2023,128.86,0.0,5.06,0.0
13/1/2023,1602.0,0.0,40.0,8.0
13/2/2023,311.53,9.53,42.52,91.67
13/4/2023,72.25,17.0,15.3,1.7
13/6/2023,2286.84,0.0,104.1,41.34
14/1/2023,226.0,0.0,33.6,113.2
14/2/2023,599.91,10.3,43.15,122.89
14/3/2023,400.6,0.2,20.4,28.8
14/4/2023,61.75,0.0,0.75,0.0
14/8/2023,533.88,0.0,4.0,4.0
14/9/2023,8310.61,2.4,298.98,957.43
15/2/2023,805.53,0.0,3.32,9.6
15/5/2023,172.16,24.46,19.65,26.96
15/6/2023,486.62,0.0,21.88,1.25
15/7/2023,400.0,0.0,88.0,48.0
15/8/2023,289.79,0.0,3.71,2.37
15/9/2023,175.36,2.29,20.21,45.07
16/1/2023,1658.0,32.8,186.8,160.38
16/2/2023,798.04,1.67,214.95,795.54
16/3/2023,534.05,0.0,94.03,13.63
16/5/2023,313.77,2.02,23.47,74.73
16/8/2023,4807.72,89.86,266.96,1057.1
17/1/2023,2103.38,0.0,87.02,12.0
17/2/2023,526.02,0.0,47.52,5.28
17/3/2023,3860.0,0.0,355.0,145.0
17/4/2023,180.78,10.33,18.08,62.0
17/5/2023,87.67,0.17,1.17,0.8
17/7/2023,614.92,22.46,97.66,90.57
17/8/2023,127.06,94.29,38.71,42.04
18/1/2023,932.29,1.11,130.05,297.96
18/2/2023,11025.0,0.0,0.0,0.0
18/3/2023,1439.76,33.6,84.0,52.08
18/4/2023,244.59,0.0,15.47,105.19
18/5/2023,314.49,0.0,0.0,7.27
18/7/2023,443.87,0.2,1.2,0.6
19/4/2023,2254.83,0.0,16.75,11.83
19/5/2023,376.07,7.37,111.5,169.18
19/6/2023,166.67,0.0,22.63,80.08
19/7/2023,395.4,0.0,43.2,175.5
19/8/2023,224.0,0.0,32.5,88.5
19/9/2023,374.0,2.62,12.62,0.0
2/5/2023,441.15,8.4,181.84,254.64
20/1/2023,123.3,0.0,265.5,460.8
20/2/2023,40.88,0.0,0.0,0.0
20/3/2023,476.82,33.56,39.62,217.24
20/6/2023,288.31,0.2,25.3,14.54
20/7/2023,1391.73,81.23,82.37,315.33
21/2/2023,2458.86,21.85,65.58,32.87
21/6/2023,579.95,0.0,26.06,112.96
21/7/2023,2784.16,1.68,190.96,142.72
21/8/2023,750.44,7.78,70.17,163.71
21/9/2023,18088.88,56.35,1322.48,5072.02
22/2/2023,2716.38,0.0,68.75,22.75
22/3/2023,691.6,0.0,60.26,41.63
22/5/2023,3861.4,0.0,355.2,145.0
22/6/2023,19224.0,0.0,480.0,96.0
22/8/2023,3550.24,0.0,153.64,0.0
22/9/2023,3997.07,6.24,371.85,193.88
23/2/2023,1258.38,24.37,89.94,82.36
23/3/2023,140.0,0.0,80.0,165.0
23/5/2023,1335.0,0.0,28.75,70.0
23/6/2023,54.66,0.3,6.43,10.8
23/8/2023,1281.45,0.0,1.04,9.97
24/2/2023,4857.14,15.24,386.14,680.22
24/5/2023,241.45,0.0,47.35,16.39
24/7/2023,287.7,44.22,132.24,287.28
24/8/2023,4074.63,15.5,355.81,276.03
25/1/2023,87.83,0.0,318.67,1542.42
25/6/2023,263.58,0.0,31.02,55.92
25/8/2023,2103.32,18.72,227.45,303.97
26/6/2023,321.57,6.61,0.0,0.0
27/2/2023,0.0,0.0,0.0,830.0
27/6/2023,100.0,0.0,0.0,0.0
27/7/2023,1112.3,20.0,59.8,42.5
28/6/2023,1079.08,31.39,25.59,55.64
28/7/2023,2177.33,168.56,148.4,84.54
28/8/2023,2028.65,98.23,99.2,584.2
29/3/2023,822.95,11.67,264.89,137.22
29/4/2023,311.0,0.0,406.67,359.5
29/5/2023,1035.15,7.31,30.01,4.57
3/1/2023,654.38,0.0,113.28,260.07
3/2/2023,305.31,2.09,63.49,111.61
3/3/2023,20.16,0.0,49.6,27.2
3/6/2023,313.45,18.69,82.67,133.5
3/7/2023,479.6,1.41,18.5,42.19
3/8/2023,2403.0,0.0,60.0,12.0
30/3/2023,382.89,0.0,66.38,41.79
30/6/2023,135.99,21.6,10.01,6.98
31/1/2023,201.02,22.32,22.69,9.97
31/3/2023,999.0,0.0,0.0,0.0
31/7/2023,540.0,0.0,72.0,144.0
4/7/2023,236.16,7.15,20.17,61.3
4/8/2023,1714.26,0.0,61.42,316.67
4/9/2023,336.35,8.55,22.08,78.8
5/1/2023,831.38,0.0,0.46,15.31
5/4/2023,15440.0,0.0,1420.0,580.0
5/7/2023,265.46,1.65,37.79,90.78
5/9/2023,314.0,0.0,20.03,131.23
6/2/2023,563.62,2.25,40.88,59.15
6/5/2023,27.5,0.0,0.0,0.0
6/7/2023,119.82,3.43,11.48,24.21
7/1/2023,526.7,0.0,179.95,106.7
7/2/2023,474.73,0.62,35.02,20.56
7/3/2023,173.39,2.67,12.59,52.06
7/6/2023,53.57,0.0,0.1,0.0
7/7/2023,1111.8,0.0,35.82,5.33
7/9/2023,565.18,65.02,22.4,11.78
8/4/2023,21.51,0.0,8.68,4.45
8/5/2023,1660.14,67.01,142.75,673.22
8/8/2023,1229.44,2.22,5.78,43.33
8/9/2023,3552.09,4.41,93.12,22.29
9/1/2023,34.35,18.42,9.69,11.37
9/3/2023,1021.4,0.0,7.2,16.0
9/5/2023,10.3,0.0,1.2,4.8
9/6/2023,356.8,12.46,38.92,157.46
9/9/2023,813.53,4.15,275.27,332.9
